app,category,review,rating,true_sentiment
Figma,Design Tool,"The interface is super clean and intuitive, love it!",5,positive
Figma,Design Tool,"Great UX, everything is where you expect it to be.",4,positive
Figma,Design Tool,The search is fast and results are always relevant.,4,positive
Figma,Design Tool,"The interface is super clean and intuitive, love it!",4,positive
Figma,Design Tool,"Smooth experience, no bugs, highly recommend.",4,positive
Figma,Design Tool,The search is fast and results are always relevant.,5,positive
Figma,Design Tool,Very polished. Updates keep making it better.,5,positive
Figma,Design Tool,"It is okay, does the job but nothing special.",3,neutral
Figma,Design Tool,"Some features are great, others feel unfinished.",3,neutral
Figma,Design Tool,Beautiful design and very responsive.,5,positive
Figma,Design Tool,Beautiful design and very responsive.,4,positive
Figma,Design Tool,Exactly what I needed. Simple and works perfectly.,5,positive
Figma,Design Tool,Good concept but the execution needs work.,3,neutral
Figma,Design Tool,"The interface is super clean and intuitive, love it!",5,positive
Figma,Design Tool,"Best app in its category, the navigation makes sense.",4,positive
Figma,Design Tool,Very polished. Updates keep making it better.,5,positive
Figma,Design Tool,Exactly what I needed. Simple and works perfectly.,4,positive
Figma,Design Tool,The onboarding was seamless and well-designed.,4,positive
Figma,Design Tool,"It is okay, does the job but nothing special.",3,neutral
Figma,Design Tool,"Thoughtful design, love the attention to detail.",5,positive
Figma,Design Tool,Beautiful design and very responsive.,4,positive
Figma,Design Tool,Exactly what I needed. Simple and works perfectly.,4,positive
Figma,Design Tool,"Smooth experience, no bugs, highly recommend.",4,positive
Figma,Design Tool,The onboarding was seamless and well-designed.,4,positive
Figma,Design Tool,"The interface is super clean and intuitive, love it!",4,positive
Figma,Design Tool,"Decent app, could use some UI improvements.",3,neutral
Figma,Design Tool,Exactly what I needed. Simple and works perfectly.,4,positive
Figma,Design Tool,"The recent redesign made things worse, not better.",2,negative
Figma,Design Tool,"Thoughtful design, love the attention to detail.",5,positive
Figma,Design Tool,Settings are buried under too many menus.,1,negative
Figma,Design Tool,"Smooth experience, no bugs, highly recommend.",5,positive
Figma,Design Tool,"Works as expected, nothing groundbreaking.",3,neutral
Figma,Design Tool,"Slow loading times, the app freezes constantly.",2,negative
Figma,Design Tool,"Great UX, everything is where you expect it to be.",5,positive
Figma,Design Tool,"The interface is super clean and intuitive, love it!",4,positive
Figma,Design Tool,"Great UX, everything is where you expect it to be.",5,positive
Figma,Design Tool,"Best app in its category, the navigation makes sense.",5,positive
Figma,Design Tool,"Thoughtful design, love the attention to detail.",5,positive
Figma,Design Tool,"Way too many ads, completely ruins the experience.",1,negative
Figma,Design Tool,The search is fast and results are always relevant.,5,positive
Figma,Design Tool,"Decent app, could use some UI improvements.",3,neutral
Figma,Design Tool,"Best app in its category, the navigation makes sense.",4,positive
Figma,Design Tool,The onboarding was seamless and well-designed.,4,positive
